"person_id","screening_date","first_offense_date","current_offense_date","offenses_within_30","before_cutoff_date","p_felony_count_person","p_misdem_count_person","p_charge_violent","p_current_age","p_age_first_offense","p_juv_fel_count","p_felprop_violarrest","p_murder_arrest","p_felassault_arrest","p_misdemassault_arrest","p_famviol_arrest","p_sex_arrest","p_weapons_arrest","p_n_on_probation","p_current_on_probation","p_prob_revoke","p_charge","p_arrest","p_jail30","p_prison30","p_prison","p_probation","Risk of Failure to Appear_decile_score","Risk of Failure to Appear_raw_score","Risk of Recidivism_decile_score","Risk of Recidivism_raw_score","Risk of Violence_decile_score","Risk of Violence_raw_score","is_misdem","recid","recid_violent","raw_score","decile_score","race_black","race_white","race_hispanic","race_asian","race_native","sex_male","crim_inv","filt1","filt2","filt3","filt4","filt5","filt6"
14,2013-11-26,2013-11-25,2013-11-25,2,2013-11-25,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,4,-0.69,4,-2.12,0,0,0,-0.69,4,0,1,0,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
15,2013-10-03,2011-06-03,2013-10-03,1,2013-10-03,0,5,0,21,18,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,5,23,6,-0.3,4,-2.06,1,1,0,-0.3,6,1,0,0,0,0,1,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
16,2013-01-01,2013-01-01,2013-01-01,1,2013-01-01,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,-1.67,1,-3.14,1,0,0,-1.67,1,0,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17,2014-07-31,2014-07-31,2014-07-31,1,2014-07-31,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,3,-0.98,5,-1.92,1,0,0,-0.98,3,0,1,0,0,0,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
18,2013-10-09,2013-10-08,2013-10-08,4,2013-10-08,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,4,-0.73,2,-2.85,0,0,0,-0.73,4,1,0,0,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
21,2014-03-24,2014-03-24,2014-03-24,1,2014-03-24,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,-2,1,-3.43,1,0,0,-2,1,0,0,1,0,0,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22,2013-12-22,2008-09-06,2013-12-21,2,2013-12-21,1,4,3,23,18,0,1,0,0,1,0,0,0,0,0,0,5,2,0,0,0,1,3,18,10,0.89,9,-0.84,0,0,0,0.89,10,1,0,0,0,0,1,6,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
23,2013-11-17,2003-05-11,2013-11-16,2,2013-11-16,3,8,0,28,18,0,0,0,0,0,0,0,1,0,0,0,11,6,0,0,0,3,3,18,5,-0.4,4,-2.22,0,1,1,-0.4,5,0,1,0,0,0,1,14,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
24,2014-11-15,2006-05-06,2014-11-14,2,2014-11-14,0,5,1,29,21,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,12,3,-0.87,2,-2.7,0,1,0,-0.87,3,0,1,0,0,0,1,5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
26,2013-04-18,2013-03-24,2013-04-17,5,2013-04-17,0,2,1,18,18,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6,25,9,0.5,9,-0.63,0,1,0,0.5,9,1,0,0,0,0,1,2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
27,2014-10-16,2014-10-16,2014-10-16,1,2014-10-16,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,-1.14,3,-2.55,1,1,0,-1.14,2,0,1,0,0,0,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
28,2013-11-22,2013-11-20,2013-11-20,3,2013-11-20,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,4,-0.92,5,-1.88,0,0,0,-0.92,4,0,1,0,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
30,2013-02-08,2012-12-01,2013-02-07,2,2013-02-07,3,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,12,4,-0.71,5,-1.8,0,1,0,-0.71,4,0,0,1,0,0,1,3,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
32,2013-01-25,2005-10-14,2013-01-24,1,2013-01-24,1,1,1,40,32,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,2,17,1,-1.68,2,-2.92,1,0,0,-1.68,1,0,1,0,0,0,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
33,2013-05-11,2013-05-10,2013-05-10,1,2013-05-10,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,3,-0.83,4,-2.2,1,0,0,-0.83,3,0,0,0,0,0,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
34,2013-05-24,2013-05-23,2013-05-23,1,2013-05-23,0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,29,9,0.39,5,-1.89,0,0,0,0.39,9,1,0,0,0,0,0,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
37,2013-05-06,2008-05-27,2013-05-05,2,2013-05-05,3,9,2,24,19,0,1,0,1,0,0,0,0,0,0,0,12,1,0,0,0,0,1,12,3,-0.93,3,-2.55,0,1,1,-0.93,3,1,0,0,0,0,1,12,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
39,2013-02-20,2007-12-15,2013-02-19,2,2013-02-19,3,7,1,23,18,0,1,0,0,0,0,0,0,0,0,0,10,5,0,0,0,1,1,15,7,0.07,7,-1.27,0,1,0,0.07,7,1,0,0,0,0,1,11,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
40,2014-10-24,2014-10-23,2014-10-23,2,2014-10-23,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,10,0.82,6,-1.67,0,1,1,0.82,10,1,0,0,0,0,1,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
41,2013-01-28,2004-11-27,2013-01-28,1,2013-01-28,5,11,7,27,19,0,0,0,2,5,0,0,1,4,0,0,16,10,0,0,0,4,8,28,9,0.55,10,-0.43,0,1,1,0.55,9,0,1,0,0,0,1,20,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
42,2014-11-15,2009-08-31,2014-11-14,2,2014-11-14,5,2,0,30,25,0,0,0,0,0,0,0,0,1,0,0,7,6,0,0,0,4,3,20,8,0.25,3,-2.3,0,1,0,0.25,8,1,0,0,0,0,1,11,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
43,2014-12-07,2014-12-06,2014-12-06,1,2014-12-06,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,-2.74,1,-4.33,1,0,0,-2.74,1,1,0,0,0,0,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
44,2014-11-21,2010-06-25,2014-11-20,4,2014-11-20,0,2,0,25,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,12,3,-0.88,3,-2.54,0,0,0,-0.88,3,0,0,1,0,0,1,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
45,2013-12-30,2013-12-28,2013-12-28,1,2013-12-28,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,-2.56,1,-4.21,0,0,0,-2.56,1,0,1,0,0,0,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
47,2013-09-16,2005-04-02,2013-09-16,1,2013-09-16,4,13,11,30,21,0,2,0,1,1,0,0,0,4,0,0,17,11,0,0,0,1,10,40,10,0.7,8,-1.1,0,0,0,0.7,10,1,0,0,0,0,1,18,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
48,2014-01-11,1995-09-04,2014-01-10,4,2014-01-10,2,4,1,36,18,0,1,0,0,0,0,0,0,0,0,0,6,5,1,1,2,0,2,17,3,-0.81,4,-2.19,0,0,0,-0.81,3,1,0,0,0,0,1,9,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
49,2013-01-20,1987-04-04,2013-01-19,1,2013-01-19,23,32,6,50,24,0,0,0,1,5,0,0,0,9,0,2,60,32,0,0,5,5,8,29,5,-0.46,2,-2.59,0,0,0,-0.46,5,0,1,0,0,0,1,70,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
50,2013-04-04,1996-03-25,2013-04-04,4,2013-04-04,2,9,0,46,29,0,0,0,0,0,0,0,2,0,0,0,11,5,0,0,0,0,3,20,3,-0.82,2,-2.81,0,1,0,-0.82,3,0,0,0,0,0,1,11,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
52,2013-12-03,2006-03-03,2013-12-02,1,2013-12-02,0,7,0,30,23,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,1,2,16,5,-0.73,2,-2.67,1,1,1,-0.73,5,0,1,0,0,0,0,8,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
53,2013-09-15,2011-07-22,2013-09-15,1,2013-09-15,0,1,0,22,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15,2,-1.23,3,-2.49,1,1,1,-1.23,2,0,1,0,0,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
54,2013-01-11,1997-02-03,2013-01-11,1,2013-01-11,16,25,1,31,15,3,1,0,0,0,0,0,1,16,1,0,41,23,0,0,2,4,6,25,9,0.32,6,-1.55,0,1,0,0.32,9,1,0,0,0,0,1,47,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
55,2013-01-16,2013-01-15,2013-01-15,2,2013-01-15,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,-1.08,2,-2.62,1,0,0,-1.08,2,0,1,0,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
57,2013-02-28,2003-01-26,2013-02-27,2,2013-02-27,0,7,0,48,38,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,15,1,-1.77,1,-3.6,1,0,0,-1.77,1,1,0,0,0,0,1,7,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
59,2014-04-06,2010-05-12,2014-04-05,1,2014-04-05,1,2,1,27,23,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,3,18,2,-1.33,2,-2.78,1,1,1,-1.33,2,0,1,0,0,0,1,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
60,2013-08-23,2013-08-22,2013-08-22,3,2013-08-22,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,6,-0.25,7,-1.35,0,0,0,-0.25,6,1,0,0,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
61,2013-02-14,1988-08-07,2013-02-13,1,2013-02-13,2,5,1,48,23,0,0,0,1,0,0,0,0,0,0,0,9,4,0,0,0,2,2,16,2,-1.32,2,-2.82,0,0,0,-1.32,2,1,0,0,0,0,0,11,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
62,2014-09-14,2007-11-01,2014-09-14,3,2014-09-14,19,14,10,26,19,0,3,0,0,0,0,0,0,4,0,0,33,7,0,0,1,2,2,17,7,-0.01,4,-1.98,0,0,0,-0.01,7,0,1,0,0,0,1,36,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
63,2014-08-13,1998-04-25,2014-08-12,1,2014-08-12,14,24,1,34,18,0,0,0,0,0,0,0,0,4,0,0,42,25,0,0,2,4,10,37,9,0.58,10,-0.31,1,0,0,0.58,9,1,0,0,0,0,1,48,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
64,2014-03-03,2014-03-03,2014-03-03,1,2014-03-03,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,7,-0.06,2,-2.8,0,1,1,-0.06,7,1,0,0,0,0,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
64,2014-05-04,2014-03-03,2014-05-03,1,2014-05-03,1,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,20,7,-0.06,2,-2.8,1,1,1,-0.06,7,1,0,0,0,0,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
65,2014-06-19,2014-06-17,2014-06-17,1,2014-06-17,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,-1.55,2,-2.9,1,0,0,-1.55,1,0,0,0,0,0,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
66,2014-03-28,2008-07-02,2014-03-27,1,2014-03-27,6,12,5,23,18,0,3,0,1,1,0,0,0,1,0,0,18,16,0,0,2,2,3,18,10,1.07,9,-0.77,1,1,1,1.07,10,0,1,0,0,0,1,22,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
67,2014-05-19,1998-11-17,2014-05-18,2,2014-05-18,5,18,5,33,17,1,1,0,0,2,0,0,0,7,0,1,23,17,0,0,0,3,5,23,8,0.1,3,-2.54,0,1,0,0.1,8,1,0,0,0,0,1,26,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
68,2013-08-02,2013-08-02,2013-08-02,2,2013-08-02,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,-2.43,1,-3.94,1,0,0,-2.43,1,0,1,0,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
70,2013-04-24,2013-04-23,2013-04-23,2,2013-04-23,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,4,-0.59,3,-2.41,0,0,0,-0.59,4,1,0,0,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
71,2013-06-03,2013-05-10,2013-05-10,4,2013-05-10,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2,-1.22,2,-2.86,0,1,0,-1.22,2,0,1,0,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
72,2013-11-18,2013-11-17,2013-11-17,2,2013-11-17,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2,-1.45,2,-2.71,0,0,0,-1.45,2,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
73,2014-10-05,2014-10-04,2014-10-04,1,2014-10-04,0,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,2,-1.08,1,-3.21,0,0,0,-1.08,2,0,1,0,0,0,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
74,2014-06-03,2014-06-03,2014-06-03,3,2014-06-03,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,3,-0.98,3,-2.35,0,0,0,-0.98,3,0,1,0,0,0,1,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
76,2014-10-24,2013-01-04,2014-10-24,3,2014-10-24,0,3,0,31,30,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,9,32,9,0.42,10,-0.45,0,0,0,0.42,9,0,1,0,0,0,1,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
78,2014-11-03,2006-08-01,2014-11-02,1,2014-11-02,3,1,0,29,21,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,3,18,6,-0.28,4,-2.21,0,0,0,-0.28,6,1,0,0,0,0,1,5,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
79,2013-03-18,2002-10-26,2013-03-17,1,2013-03-17,6,15,0,28,18,0,0,0,0,0,0,0,0,3,0,0,21,19,0,0,0,5,6,25,5,-0.43,7,-1.45,0,0,0,-0.43,5,1,0,0,0,0,1,26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
80,2013-09-18,2012-04-01,2013-09-17,4,2013-09-17,1,3,0,21,20,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,12,4,-0.6,4,-2.04,0,1,0,-0.6,4,1,0,0,0,0,1,4,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
81,2014-11-08,2014-11-07,2014-11-07,2,2014-11-07,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,5,-0.46,3,-2.51,0,0,0,-0.46,5,1,0,0,0,0,1,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
82,2014-07-30,2006-02-22,2014-07-29,6,2014-07-29,0,10,0,30,22,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,1,15,8,0.09,2,-2.71,0,0,0,0.09,8,0,1,0,0,0,1,10,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
83,2013-01-20,2013-01-20,2013-01-20,1,2013-01-20,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,7,-0.01,3,-2.36,1,0,0,-0.01,7,0,0,1,0,0,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
84,2013-08-27,2002-12-02,2013-08-26,1,2013-08-26,0,4,0,46,35,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,13,1,-2.05,1,-3.38,1,0,0,-2.05,1,1,0,0,0,0,1,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
86,2014-12-03,2014-12-02,2014-12-02,1,2014-12-02,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,-1.84,1,-3.18,1,0,0,-1.84,1,0,0,1,0,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
87,2013-02-11,2002-04-02,2013-02-10,1,2013-02-10,0,6,0,32,21,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,1,14,3,-0.93,2,-2.94,0,0,0,-0.93,3,1,0,0,0,0,1,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
89,2014-04-14,2002-12-22,2014-04-13,3,2014-04-13,0,4,2,31,20,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,1,13,1,-1.84,1,-3.25,0,0,0,-1.84,1,1,0,0,0,0,1,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
90,2014-08-30,2006-04-07,2014-08-29,2,2014-08-29,10,14,4,25,17,1,0,0,1,1,0,0,1,1,0,0,24,15,0,0,0,3,3,20,10,0.69,9,-0.9,0,1,0,0.69,10,1,0,0,0,0,1,27,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
91,2013-02-04,1998-12-16,2013-02-03,2,2013-02-03,1,9,3,35,21,0,0,0,0,2,0,0,0,0,0,0,10,4,0,0,0,0,2,16,2,-1.11,2,-2.7,1,1,0,-1.11,2,0,1,0,0,0,1,10,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
92,2013-03-21,1986-04-25,2013-03-20,1,2013-03-20,12,4,8,43,16,6,6,0,0,1,0,0,0,3,0,0,17,9,0,0,5,2,4,21,6,-0.17,3,-2.41,0,0,0,-0.17,6,0,1,0,0,0,1,24,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
93,2013-11-16,2011-12-06,2013-11-15,4,2013-11-15,0,3,1,20,18,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,13,4,-0.62,6,-1.61,0,1,0,-0.62,4,1,0,0,0,0,1,3,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
94,2014-07-30,2014-07-30,2014-07-30,1,2014-07-30,0,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,-1.88,1,-3.31,1,0,0,-1.88,1,0,1,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
96,2013-01-26,2006-04-21,2013-01-24,3,2013-01-24,0,5,2,26,19,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,5,23,9,0.44,5,-1.8,0,1,1,0.44,9,1,0,0,0,0,1,6,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
96,2013-08-25,2006-04-21,2013-08-25,4,2013-08-25,4,7,6,27,19,0,0,0,2,0,0,0,0,3,1,0,12,8,0,0,0,1,6,24,8,0.16,6,-1.55,0,0,0,0.16,8,1,0,0,0,0,1,13,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
97,2013-01-08,2013-01-07,2013-01-07,2,2013-01-07,0,0,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,-1.98,1,-3.88,1,0,0,-1.98,1,0,0,1,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
98,2014-04-30,2005-12-17,2014-04-30,2,2014-04-30,0,10,0,25,17,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,3,18,6,-0.25,3,-2.32,0,1,0,-0.25,6,1,0,0,0,0,1,10,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
98,2014-11-10,2005-12-17,2014-11-09,1,2014-11-09,1,11,2,26,17,0,0,0,1,1,0,0,0,0,0,0,12,2,0,0,0,0,2,17,5,-0.33,4,-2.04,0,0,0,-0.33,5,1,0,0,0,0,1,12,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
99,2014-03-09,2014-03-08,2014-03-08,1,2014-03-08,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,-1.88,1,-3.24,1,0,0,-1.88,1,0,0,0,0,0,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
100,2013-09-28,2013-09-27,2013-09-27,1,2013-09-27,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,-2.57,1,-4.15,1,0,0,-2.57,1,1,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101,2013-01-13,1996-09-15,2013-01-12,2,2013-01-12,3,4,0,42,26,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,3,0,1,13,1,-2.08,1,-3.55,0,1,1,-2.08,1,0,0,1,0,0,1,10,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
101,2014-02-02,1996-09-15,2014-02-01,5,2014-02-01,6,6,1,43,26,0,1,0,0,0,0,0,0,0,0,0,12,10,1,1,3,0,3,18,1,-1.97,1,-3.62,1,0,0,-1.97,1,0,0,1,0,0,1,16,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
102,2013-05-25,2012-08-05,2013-05-24,3,2013-05-24,0,1,0,19,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,4,-0.52,6,-1.59,0,0,0,-0.52,4,0,0,1,0,0,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
103,2014-11-08,2014-01-27,2014-11-07,4,2014-11-07,0,3,0,29,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,14,3,-1.2,2,-2.62,0,0,0,-1.2,3,0,1,0,0,0,0,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
104,2013-01-09,2013-01-09,2013-01-09,10,2013-01-09,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,4,-0.56,4,-2.03,0,0,0,-0.56,4,1,0,0,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
